entity,code,parent_code,payload
manifest,TEFIX,,"{""client_name"":""Tefix"",""currency"":""F CFA"",""dataset_version"":""1.0"",""reference_date"":""2026-07-14"",""modules"":[""dashboard"",""documents"",""collect"",""mes"",""engins"",""machines"",""workplaces"",""stock"",""projets"",""planning"",""tasks"",""pointage"",""teams"",""performance"",""roi"",""mediatheque"",""column_tags"",""analytics"",""configuration""]}"
site,SITE_DAKAR,,"{""name"":""Usine de Diamniadio"",""latitude"":14.7219,""longitude"":-17.19,""address"":""Zone industrielle de Diamniadio, Dakar""}"
site,SITE_THIES,,"{""name"":""Dépôt de Thiès"",""latitude"":14.791,""longitude"":-16.9359,""address"":""Zone industrielle, route de Tivaouane, Thiès""}"
workplace,WP_CONCASSAGE,,"{""name"":""Unité de concassage"",""site"":""SITE_DAKAR"",""description"":""Concassage et calibrage des granulats""}"
workplace,WP_BETON,,"{""name"":""Centrale à béton"",""site"":""SITE_DAKAR"",""description"":""Production de béton prêt à l'emploi""}"
workplace,WP_MAINT,,"{""name"":""Atelier de maintenance"",""site"":""SITE_DAKAR"",""description"":""Entretien préventif et curatif des équipements""}"
workplace,WP_CHARGEMENT,,"{""name"":""Zone de chargement"",""site"":""SITE_THIES"",""description"":""Préparation et chargement des expéditions""}"
workplace,WP_STOCK,,"{""name"":""Magasin central"",""site"":""SITE_THIES"",""description"":""Réception et stockage des matières et pièces""}"
user,USR_ABDOU,,"{""first_name"":""Abdou"",""last_name"":""Ndiaye"",""email"":""abdou.ndiaye@tefix.sn"",""phone"":""+221771102001"",""role"":""Responsable d'exploitation"",""site"":""SITE_DAKAR""}"
user,USR_AWA,,"{""first_name"":""Awa"",""last_name"":""Diop"",""email"":""awa.diop@tefix.sn"",""phone"":""+221761102002"",""role"":""Cheffe de production"",""site"":""SITE_DAKAR""}"
user,USR_MAMADOU,,"{""first_name"":""Mamadou"",""last_name"":""Ba"",""email"":""mamadou.ba@tefix.sn"",""phone"":""+221781102003"",""role"":""Chef d'équipe"",""site"":""SITE_DAKAR""}"
user,USR_FATOUMATA,,"{""first_name"":""Fatoumata"",""last_name"":""Sarr"",""email"":""fatoumata.sarr@tefix.sn"",""phone"":""+221701102004"",""role"":""Responsable qualité"",""site"":""SITE_DAKAR""}"
user,USR_IBRAHIMA,,"{""first_name"":""Ibrahima"",""last_name"":""Fall"",""email"":""ibrahima.fall@tefix.sn"",""phone"":""+221771102005"",""role"":""Technicien maintenance"",""site"":""SITE_DAKAR""}"
user,USR_KHADY,,"{""first_name"":""Khady"",""last_name"":""Sy"",""email"":""khady.sy@tefix.sn"",""phone"":""+221761102006"",""role"":""Magasinière"",""site"":""SITE_THIES""}"
user,USR_CHEIKH,,"{""first_name"":""Cheikh"",""last_name"":""Gueye"",""email"":""cheikh.gueye@tefix.sn"",""phone"":""+221781102007"",""role"":""Conducteur d'engin"",""site"":""SITE_DAKAR""}"
user,USR_MARIAMA,,"{""first_name"":""Mariama"",""last_name"":""Cissé"",""email"":""mariama.cisse@tefix.sn"",""phone"":""+221701102008"",""role"":""Opératrice de production"",""site"":""SITE_DAKAR""}"
user,USR_OUSMANE,,"{""first_name"":""Ousmane"",""last_name"":""Diallo"",""email"":""ousmane.diallo@tefix.sn"",""phone"":""+221771102009"",""role"":""Chauffeur-livreur"",""site"":""SITE_THIES""}"
user,USR_NDEYE,,"{""first_name"":""Ndèye"",""last_name"":""Seck"",""email"":""ndeye.seck@tefix.sn"",""phone"":""+221761102010"",""role"":""Assistante administrative"",""site"":""SITE_THIES""}"
